scenario,model,product,location,period,internal,external,inventory,max_inventory_violation,ontime_Strategic,unserved_Strategic,ontime_Standard,unserved_Standard,ontime_Spot,unserved_Spot
Baseline,A_transactional_only,P1,L1,1,40.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,20.0
Baseline,A_transactional_only,P1,L1,2,50.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,30.0
Baseline,A_transactional_only,P1,L1,3,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,30.0
Baseline,B_notional_only,P1,L1,1,60.0,30.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
Baseline,B_notional_only,P1,L1,2,80.0,40.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
Baseline,B_notional_only,P1,L1,3,70.0,40.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
Baseline,C_governed_hybrid,P1,L1,1,80.0,10.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
Baseline,C_governed_hybrid,P1,L1,2,80.0,40.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
Baseline,C_governed_hybrid,P1,L1,3,80.0,30.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
Non-delivery penalty 50%,A_transactional_only,P1,L1,1,40.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,20.0
Non-delivery penalty 50%,A_transactional_only,P1,L1,2,50.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,30.0
Non-delivery penalty 50%,A_transactional_only,P1,L1,3,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,30.0
Non-delivery penalty 50%,B_notional_only,P1,L1,1,60.0,30.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
Non-delivery penalty 50%,B_notional_only,P1,L1,2,80.0,40.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
Non-delivery penalty 50%,B_notional_only,P1,L1,3,70.0,40.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
Non-delivery penalty 50%,C_governed_hybrid,P1,L1,1,80.0,0.0,10.0,0.0,60.0,0.0,30.0,0.0,0.0,20.0
Non-delivery penalty 50%,C_governed_hybrid,P1,L1,2,80.0,0.0,0.0,0.0,50.0,0.0,40.0,0.0,0.0,30.0
Non-delivery penalty 50%,C_governed_hybrid,P1,L1,3,80.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,30.0
Non-delivery penalty 200%,A_transactional_only,P1,L1,1,40.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,20.0
Non-delivery penalty 200%,A_transactional_only,P1,L1,2,50.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,30.0
Non-delivery penalty 200%,A_transactional_only,P1,L1,3,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,30.0
Non-delivery penalty 200%,B_notional_only,P1,L1,1,60.0,30.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
Non-delivery penalty 200%,B_notional_only,P1,L1,2,80.0,40.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
