scenario,model,status,objective_value,on_time_units,unserved_units,internal_production,external_supply,actual_financial_cost,notional_penalty_score,max_inventory_violation_units,min_capacity_shortfall_units,variables,constraints,solve_seconds
Baseline,A_transactional_only,Optimal,2690.0,150.0,190.0,130.0,0.0,2690.0,10100.0,0.0,50.0,33,24,0.20026110000617336
Baseline,B_notional_only,Optimal,0.0,340.0,0.0,210.0,110.0,4080.0,0.0,0.0,0.0,33,24,0.1937636000002385
Baseline,C_governed_hybrid,Optimal,3840.0,340.0,0.0,240.0,80.0,3840.0,0.0,0.0,0.0,33,24,0.22360260000277776
Non-delivery penalty 50%,A_transactional_only,Optimal,2690.0,150.0,190.0,130.0,0.0,2690.0,5250.0,0.0,50.0,33,24,0.20271910000155913
Non-delivery penalty 50%,B_notional_only,Optimal,0.0,340.0,0.0,210.0,110.0,4080.0,0.0,0.0,0.0,33,24,0.20976150000205962
Non-delivery penalty 50%,C_governed_hybrid,Optimal,3410.0,260.0,80.0,240.0,0.0,2810.0,1000.0,0.0,0.0,33,24,0.35719090000202414
Non-delivery penalty 200%,A_transactional_only,Optimal,2690.0,150.0,190.0,130.0,0.0,2690.0,19800.0,0.0,50.0,33,24,0.2820246000046609
Non-delivery penalty 200%,B_notional_only,Optimal,0.0,340.0,0.0,210.0,110.0,4080.0,0.0,0.0,0.0,33,24,0.1916408000033698
Non-delivery penalty 200%,C_governed_hybrid,Optimal,3840.0,340.0,0.0,240.0,80.0,3840.0,0.0,0.0,0.0,33,24,0.19208100000105333
External capacity tight,A_transactional_only,Optimal,2690.0,150.0,190.0,130.0,0.0,2690.0,10100.0,0.0,50.0,33,24,0.1837593000018387
External capacity tight,B_notional_only,Optimal,500.0,320.0,20.0,240.0,60.0,3600.0,500.0,0.0,0.0,33,24,0.14674809999996796
External capacity tight,C_governed_hybrid,Optimal,3990.0,320.0,20.0,240.0,60.0,3590.0,500.0,0.0,0.0,33,24,0.15335770000092452
External capacity expanded,A_transactional_only,Optimal,2690.0,150.0,190.0,130.0,0.0,2690.0,10100.0,0.0,50.0,33,24,0.2756009000004269
External capacity expanded,B_notional_only,Optimal,0.0,340.0,0.0,180.0,140.0,4320.0,0.0,0.0,0.0,33,24,0.26527340000029653
External capacity expanded,C_governed_hybrid,Optimal,3840.0,340.0,0.0,240.0,80.0,3840.0,0.0,0.0,0.0,33,24,0.7390268000017386
Demand -10%,A_transactional_only,Optimal,2401.0,135.0,171.0,115.0,0.0,2401.0,9250.0,0.0,65.0,33,24,0.7373086000006879
Demand -10%,B_notional_only,Optimal,0.0,306.0,0.0,188.0,98.0,3644.0,0.0,0.0,0.0,33,24,0.3117677999980515
Demand -10%,C_governed_hybrid,Optimal,3229.0,306.0,0.0,240.0,46.0,3229.0,0.0,0.0,0.0,33,24,0.37795689999620663
Demand +10%,A_transactional_only,Optimal,2979.0,165.0,209.0,145.0,0.0,2979.0,10950.0,0.0,35.0,33,24,0.19422949999716366
Demand +10%,B_notional_only,Optimal,0.0,374.0,0.0,234.0,120.0,4514.0,0.0,0.0,0.0,33,24,0.13558170000032987
Demand +10%,C_governed_hybrid,Optimal,4466.0,374.0,0.0,240.0,114.0,4466.0,0.0,0.0,0.0,33,24,0.4075016999995569
Scaled stress test,A_transactional_only,Optimal,1017499.22,59129.0,62954.0,55580.0,0.0,1017499.2200000001,3128164.0,0.0,1633.0,24120,16920,0.812636399998155
Scaled stress test,B_notional_only,Optimal,0.0,122083.0,0.0,40653.0,77881.0,1891546.0,0.0,0.0,0.0,24120,16920,0.536331399998744
Scaled stress test,C_governed_hybrid,Optimal,1237927.0,122083.0,0.0,118534.0,0.0,1237927.0,0.0,0.0,0.0,24120,16920,0.5779507999977795
